Title,Artist,Album,Release,Genre
Welcome to the Black Parade,MCR,The Black Parade,2006,Rock
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2006,Rock
I Miss You,Blink-182,Blink-182,2004,Rock
In The End,Linkin Park,Reanimation,2002,Rock
505,Arctic Monkeys,Favourite Worst Nightmare,2007,Rock
Mardy Bum,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2006,Rock
Drive,Incubus,Make Yourself,1999,Rock
Teenagers,MCR,The Black Parade,2006,Rock
Stressed Out,Twenty One Pilots,Blurryface,2015,Rock
Sweater Weather,The Neighbourhood,I Love You,2013,Rock
The Gambler,Kenny Rogers,The Gambler,1978,Country
Coward Of The County,Kenny Rogers,Kenny,1979,Country
The Boxer,Simon & Garfunkel,"FM Broadcasts 1965-1970, vol. 2 (Live)",1965,Folk
Young Folks,Peter Bjorn and John,Writer's Block,2006,Pop
I'm a Believer,The Monkees,More of The Monkees,1967,Pop
Evidências,Chitãozinho & Xororó,Cowboy do Asfalto,1989,Sertanejo
Meu Primeiro Amor,Milionário & José Rico,"Decida!!!, volume 27",2003,Sertanejo
A Loira do Carro Branco,João Paulo & Daniel,Bailão do João Paulo & Daniel,2001,Sertanejo
Sonho de Um Caminhoneiro,Milionário & José Rico,Sonhei com Você,1981,Sertanejo
Couro de Boi,Trio Parada Dura,Brilhante,2001,Sertanejo
Sonhei Com Você,Milionário & José Rico,Sonhei com Você,1981,Sertanejo
Colcha de Retalhos,Chitãozinho & Xororó,Clássicos Sertanejos,1996,Sertanejo
Tentei Te Esquecer,Matogrosso & Mathias,Duas Gerações - Ao Vivo,2014,Sertanejo
O Menino da Porteira,Sérgio Reis,Boiadeiro,1996,Sertanejo
Estrada da Vida,Milionário & José Rico,Estrada da Vida,1977,Sertanejo
